ID_no,Using_socmed_on_purpose,Considered_as_distraction,Feeling_restless,Worried,Hard_time_to_concentrate,Feeling_jealous_insecure,Seeking_validation,Depressed,Inconsistent_daily_activities,Sleeping_issues
151,Yes,No,No,Yes,No,No,Neither,Yes,No,Yes
152,No,No,No,Yes,Yes,Neither,No,Neither,Yes,Yes
153,No,No,No,Neither,Yes,No,No,No,Yes,Yes
154,Neither,No,No,Yes,Yes,No,No,No,No,Yes
155,Neither,No,No,No,Neither,No,No,Yes,No,Yes
156,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
157,Yes,No,No,No,No,Yes,No,No,No,Yes
158,Neither,No,No,No,No,Yes,No,No,Yes,No
159,Yes,Yes,Yes,Yes,Yes,Neither,No,Neither,Yes,Yes
160,Neither,No,Neither,Yes,Neither,No,No,Neither,Neither,Yes
161,Neither,No,Neither,Yes,Yes,No,No,Neither,No,Yes
162,No,No,No,No,No,Yes,No,No,No,No
163,Yes,No,No,No,No,No,No,No,No,Yes
164,No,Yes,No,No,No,Neither,Neither,No,No,Yes
165,No,No,No,No,No,No,No,No,No,No
166,No,Neither,No,Neither,Neither,No,No,No,No,No
167,Yes,Yes,Yes,No,Yes,Neither,No,Neither,Neither,Yes
168,Yes,Yes,Yes,Yes,Yes,Yes,No,Neither,Yes,Yes
169,Yes,Yes,No,Yes,Yes,Neither,Yes,Yes,Yes,Yes
170,Yes,Yes,Yes,Yes,No,Yes,Yes,Neither,Neither,No
171,Yes,Neither,Yes,Yes,Yes,Yes,Neither,Yes,Yes,Yes
172,Yes,Neither,Neither,Yes,Neither,No,No,No,No,No
173,Neither,No,No,No,No,No,Yes,No,No,No
174,Yes,Neither,Neither,Neither,Yes,No,Neither,Yes,Neither,Yes
175,Neither,Yes,Yes,Yes,Yes,Neither,No,Neither,Yes,Yes
176,Neither,No,Yes,Yes,No,Neither,Yes,Yes,No,No
177,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
178,Yes,No,No,No,No,No,Neither,Neither,Neither,Yes
179,Neither,No,No,Yes,No,Neither,No,No,No,Neither
180,Neither,Yes,Yes,Yes,Yes,No,Yes,Yes,Neither,No
181,Yes,Yes,Yes,Yes,Neither,No,Neither,Neither,Yes,Yes
182,Neither,No,Neither,Neither,Neither,Neither,No,No,No,No
183,Yes,Neither,No,Neither,No,No,Neither,Neither,No,No
184,Yes,Yes,No,Neither,No,Neither,No,Neither,Neither,No
185,Yes,Neither,Yes,Yes,Yes,Neither,Neither,Yes,Neither,Yes
186,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
187,Neither,No,No,No,No,No,Neither,Yes,No,No
188,Neither,Yes,Neither,Neither,Neither,Neither,Neither,Yes,Neither,No
189,Neither,Neither,No,No,Yes,Neither,No,Yes,Yes,Yes
190,Yes,Neither,Neither,Yes,Neither,No,Yes,Yes,Neither,Yes
191,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
192,Neither,No,No,No,No,No,No,No,Neither,No
193,Yes,Neither,No,No,Neither,No,No,Neither,No,No
194,Neither,Neither,Neither,Neither,No,Neither,Neither,No,No,No
195,No,No,No,No,No,No,No,No,No,No
196,Neither,No,Neither,No,No,No,No,No,No,No
197,Neither,Neither,No,Yes,Yes,Yes,No,No,Neither,No
198,Yes,No,No,Yes,Neither,No,No,Neither,No,Yes
199,Yes,Yes,Neither,Neither,Neither,No,No,Neither,Neither,Yes
200,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Neither,Yes,Neither
201,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
202,Neither,No,Neither,Neither,No,Neither,Neither,No,No,Yes
203,Yes,Yes,Yes,Yes,Neither,No,No,No,Neither,No
204,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
205,Neither,No,No,No,No,No,No,No,No,No
206,No,No,No,Yes,Neither,Yes,Neither,Yes,Neither,Yes
207,Neither,Neither,Neither,Yes,Neither,Yes,Yes,Neither,Neither,No
208,Yes,No,No,No,No,No,No,No,No,No
209,Yes,Neither,No,Neither,Yes,Yes,Yes,Yes,Yes,Yes
210,No,No,No,No,No,No,No,No,No,No
211,Neither,Neither,No,Yes,Neither,No,Yes,Yes,Yes,No
212,Yes,No,No,Neither,No,No,No,Neither,No,No
213,No,No,No,No,No,Yes,Neither,No,No,No
214,Yes,Yes,No,Yes,Yes,Yes,Neither,No,Neither,No
215,Neither,Neither,No,Yes,Yes,Yes,Neither,Yes,Yes,Yes
216,Neither,No,Neither,Neither,Yes,Yes,Yes,No,Yes,Neither
217,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Neither,Yes,Yes
218,Yes,Yes,No,No,No,No,No,No,Yes,No
219,Yes,Neither,No,Yes,Neither,Yes,Neither,Neither,Yes,Neither
220,Neither,Neither,Neither,Neither,No,No,Neither,Neither,Neither,Neither
221,Neither,No,Yes,Neither,Yes,Neither,Neither,Yes,Yes,Neither
222,No,Yes,Neither,Neither,Yes,Yes,Neither,No,Yes,Neither
223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neither
224,Yes,Yes,Neither,Neither,Yes,No,No,No,No,Yes
225,No,No,No,No,No,No,No,No,Neither,Yes
226,Yes,Yes,Neither,Yes,Yes,Neither,Yes,Yes,Yes,Yes
227,No,Neither,No,Yes,Neither,Yes,Neither,Yes,No,No
228,Neither,No,No,No,No,Yes,No,No,Neither,No
229,Yes,Yes,No,No,Neither,Yes,Neither,Yes,No,Yes
230,No,No,No,No,No,No,No,No,No,No
231,Yes,Yes,Neither,Yes,Yes,Yes,No,Yes,Yes,Neither
232,Yes,Yes,Yes,Yes,Neither,Yes,Yes,Yes,Yes,No
233,No,No,No,Neither,No,Neither,No,No,No,No
234,Yes,Yes,Neither,Yes,No,Neither,No,Yes,Neither,Yes
235,Neither,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
236,Yes,No,No,Yes,Neither,Yes,Yes,Yes,Yes,No
237,Neither,Yes,No,Yes,Yes,Yes,Yes,No,Neither,Yes
238,Neither,No,No,Yes,Neither,Neither,No,Neither,No,Yes
239,Yes,Neither,No,Yes,Yes,No,Neither,Neither,Yes,Yes
240,Neither,Yes,No,No,No,No,No,Neither,No,Neither
241,Yes,Yes,Neither,Yes,Yes,Yes,Neither,Yes,Yes,No
242,Yes,Neither,No,Yes,Neither,Yes,No,Yes,No,No
243,Yes,No,No,Yes,No,No,No,No,No,Neither
244,No,Yes,No,No,Yes,No,Yes,No,No,No
245,Yes,Yes,Neither,Yes,Neither,Neither,Neither,Yes,Yes,Yes
246,No,No,No,No,No,No,No,No,No,No
