ID_no,Using_socmed_on_purpose,Considered_as_distraction,Feeling_restless,Worried,Hard_time_to_concentrate,Feeling_jealous_insecure,Seeking_validation,Depressed,Inconsistent_daily_activities,Sleeping_issues
437,Yes,Yes,Neither,Yes,Yes,Neither,Yes,Yes,Yes,Neither
438,Yes,Neither,No,Yes,No,No,Neither,Neither,Yes,Neither
439,No,No,No,Yes,Neither,Neither,No,Neither,No,Yes
440,Neither,Yes,Neither,Yes,Yes,Yes,Neither,Yes,Yes,Yes
441,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neither
442,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
443,Neither,Yes,No,Neither,Neither,No,No,No,Yes,Yes
444,No,No,No,Yes,Yes,No,No,No,No,No
445,Yes,Neither,No,Yes,Yes,No,No,Yes,No,Yes
446,No,No,No,Neither,Yes,No,No,Neither,Yes,Neither
447,No,No,No,No,No,Neither,Neither,No,No,No
448,Neither,Yes,Neither,Yes,Neither,Neither,Neither,Neither,No,No
449,No,No,No,No,No,Neither,No,No,No,No
450,No,No,No,No,No,No,No,No,No,No
451,Neither,No,Neither,No,Neither,Yes,Neither,No,No,Yes
452,Neither,Neither,Neither,Neither,No,No,Neither,Yes,No,No
453,Neither,Yes,Neither,Neither,No,Neither,No,No,No,Neither
454,No,No,No,No,No,No,No,No,No,No
455,No,No,No,Yes,Yes,No,No,Neither,Yes,No
456,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No
457,Neither,Yes,No,Neither,No,No,No,Neither,Neither,Yes
458,Neither,Yes,No,Neither,No,No,No,No,Neither,No
459,Yes,Yes,Neither,No,Yes,No,No,No,Neither,No
460,No,Yes,No,Yes,Yes,No,No,Neither,No,Neither
461,Neither,Neither,No,No,No,No,No,No,No,Yes
462,No,Neither,No,Yes,Neither,Yes,No,Yes,No,No
463,No,No,No,Neither,Neither,Neither,Neither,No,No,No
464,No,No,No,Yes,Neither,Yes,No,Yes,Yes,Yes
465,Yes,Yes,No,Yes,Neither,No,No,Yes,Neither,Yes
466,Neither,No,No,Neither,No,No,No,No,Yes,Yes
467,Yes,Yes,Neither,Yes,Yes,Yes,Neither,Yes,Neither,Yes
468,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
469,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
470,Neither,Yes,Neither,Neither,Yes,Yes,Yes,Neither,Yes,Yes
471,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
472,Neither,Neither,Yes,No,Neither,Neither,Yes,No,No,No
473,No,Neither,No,Neither,No,No,Yes,Yes,Yes,Yes
474,No,Neither,No,No,No,Neither,No,No,No,Neither
